,Cantons,Année électorale,Participation,PLR,PDC,PS,UDC,PLS,PEV,PCS,PVL,PBD,PST,PSA,PES,AVF,Sol.,DS,UDF,Lega,MCR,Autres,Total,Code,UDC voters,Since,Capital,Population,GDP percapita (2014)[16]in CHF,Area (km2),Density (per km2)[Note 4],No. munic.,Official languages
0,Zurich,2015,32.65249720788571,17.327819847332822,4.878711547511711,19.71644361417497,30.02321485971399,0.0,4.271767410476604,0.0,7.637858283797792,2.6157600320489585,0.0,0.0,7.21877632549991,2.9776642082510527,0.0,0.0,2.6622770052233715,0.0,0.0,0.6697068659688309,100,ZH,147475.99360223848,1351,Zürich,1504346.0,"96,411","1,729",701,168,German
1,Berne ,2018,30.51631279200257,11.717909894787798,0.6714146823807298,22.328774703156956,26.760869343945544,0.0,6.172896563963059,0.0,6.914730779398724,9.020796236651442,0.32758893420811636,0.6818734578711615,10.104467210760983,0.49584120775391083,0.0,0.1794320102361884,3.7106237136062563,0.0,0.0,0.9127812612791791,100.00000000000004,BE,84206.18913553085,1353,Bern,1031126.0,"76,307","5,960",158,352,"German, French"
2,Lucerne,2015,38.741266642812754,21.039516286788125,30.862512819772547,11.848915475345608,24.11564618449425,0.0,0.1991432680609729,0.0,4.320210561458346,0.8779151411598187,0.0,0.0,6.700010948660607,0.0,0.0,0.0,0.0,0.0,0.0,0.036129314259739906,100.00000000000001,LU,37688.1989135782,1332,Lucerne,403397.0,"65,119","1,494",233,83,German
3,Uri 1),2016,61.9890556338612,26.85669767601981,31.298814273386256,12.98496629298646,24.05319063071445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.378060687378334,0.0,0.0,0.0,0.0,0.0,0.0,2.428270439514696,100,UR,5389.344461141817,1291,Altdorf,36145.0,"51,332","1,077",33,20,German
4,Schwytz,2016,37.747087506204565,21.628995577114722,27.167707340251724,12.925363181507755,33.11508998268775,0.0,0.30442839094425683,0.0,2.544622842922175,0.0,0.0,0.0,0.8002150996831474,0.0,0.0,0.0,0.0,0.0,0.0,1.5135775848884903,100.00000000000001,SZ,19482.846934565576,1291,Schwyz,155863.0,"58,788",908,143,30,German
5,Obwald ,2018,53.793313997862924,17.174703148729577,29.80362958369913,15.090867235269334,24.532303022959734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.398497009342233,100.00000000000001,OW,4932.677027186803,1291,Sarnen,37378.0,"64,253",491,66,7,German
6,Nidwald ,2018,54.92160562097457,28.012430399945675,26.75008063420928,4.470052879065661,25.916630593467776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.404058022679433,0.0,0.0,0.0,0.0,0.0,0.0,1.4467474706321721,100,NW,6057.348543636497,1291,Stans,42556.0,"69,559",276,138,11,German
7,Glaris ,2018,29.489675178441928,18.39281150255537,9.400846873753437,12.750407908972525,25.27536090199521,0.0,0.0,0.0,5.957380655850169,14.06850063476468,0.0,0.0,12.351048411137965,0.0,0.0,0.0,0.0,0.0,0.0,1.8036431109706301,99.99999999999999,GL,3007.4618722582377,1352,Glarus,40349.0,"67,379",685,51,3,German
8,Zoug,2014,42.93943747582472,22.147887460077055,26.783136069883696,9.250912385136688,23.631802063416853,0.0,0.0,0.0,4.974355289859597,0.0,0.0,0.0,11.63198435227256,0.0,0.0,0.0,0.0,0.0,0.0,1.5799223793535475,100,ZG,12577.45333188196,1352,Zug,123948.0,"150,613",239,416,11,German
9,Fribourg,2016,39.30210185404379,18.165508448637944,23.707026813194684,23.584308793941695,19.717606048171398,0.0,0.0,3.644714782903217,2.450731229123998,0.24198497112567988,0.0,0.0,4.514650011918154,0.0,0.0,0.0,0.0,0.0,0.0,3.9734689009832276,100,FR,24416.45045940203,1481,Fribourg,315074.0,"58,369","1,671",141,150,"French, German"
10,Soleure ,2017,35.34636277090217,24.603659412612334,18.928571522410714,21.4123080123642,19.734534280127985,0.0,1.0741656620121187,0.0,4.173822233006866,2.2157938161499198,0.0,0.0,7.4801039912295755,0.0,0.0,0.0,0.17364541673387468,0.0,0.0,0.20339565335239707,100,SO,18794.695500030713,1481,Solothurn,269441.0,"65,588",790,308,109,German
11,Bâle-Ville,2016,41.65985320514628,9.230168821274559,5.852946821090733,32.48112842237859,14.297918994739419,13.776872738545443,3.468381396027197,0.0,4.308932398038992,0.5305944917969844,0.0,0.0,13.350980618116562,0.0,0.0,0.0,0.11450914137607218,0.0,0.0,2.58756615661544,100,BS,11808.685953147206,1501,Basel,198249.0,"163,632",37,"5,072",3,German
12,Bâle-Campagne,2015,33.8456211378649,19.02975033558791,9.617785616943507,21.995306784989747,26.741611115988533,0.0,5.365701354825898,0.0,4.413095908755544,3.259030396452029,0.0,0.0,9.577718486456797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999997,BL,26126.225132236057,1501,Liestal,288660.0,"68,537",518,502,86,German
13,Schaffhouse,2016,53.90982705188443,15.537288430757004,3.6683945603533696,22.83053763189172,35.072440083803265,0.0,2.401554600697644,0.0,5.651171273199444,0.0,0.0,0.0,3.930013322288485,7.054708282783545,0.0,0.0,3.853891814225573,0.0,0.0,0.0,100.00000000000006,SH,15271.392045524199,1501,Schaffhausen,80769.0,"85,529",298,246,26,German
14,Appenzell Rh. Ext. 3) 10),2015,36.11125955218297,35.52672950865972,6.037577725601071,11.47583289301948,16.28193566802151,0.0,2.149373121376158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.528551083322036,99.99999999999997,AR,3231.082005516656,1513,Herisau[Note 6],54954.0,"56,663",243,220,20,German
15,Appenzell Rh. Int. 4) 5),2015,36.11125955218297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,…,AI,0.0,1513,Appenzell,16003.0,"61,067",172,87,6,German
16,St. Gall,2016,45.339738573829166,20.25785853941797,20.377448855898574,15.966946915751635,29.549176167202845,0.0,1.6900367300140504,0.0,3.949371934427108,1.5356418411110802,0.0,0.0,5.2477945968604685,0.0,0.0,0.0,0.3712724868576617,0.0,0.0,1.054451932458586,100,SG,67329.50081527024,1803,St. Gallen,502552.0,"72,624","2,031",222,77,German
17,Grisons 5),2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,…,GR,0.0,1803,Chur,197550.0,"70,968","7,105",26,108,"German, Romansh, Italian"
18,Argovie,2016,32.80515286910035,15.997428395774033,12.1037897377491,18.91891316589696,31.937509789617547,0.0,4.048429774333034,0.0,5.259592530940643,2.7057124829083157,0.0,0.0,7.051238318031953,0.0,0.0,0.0,1.7702123141041068,0.0,0.0,0.20717349064430535,99.99999999999997,AG,70300.41192197669,1803,Aarau,670988.0,"61,959","1,404",388,213,German
19,Thurgovie,2016,30.376371716194566,15.629292011996213,13.395754316929048,13.093599882773901,32.555828016438426,0.0,4.927634409014795,0.0,5.2088028625700185,3.1391966102801607,0.0,0.0,7.426656332161116,0.0,0.0,0.0,4.623235557836309,0.0,0.0,0.0,100.00000000000001,TG,26771.16919108247,1803,Frauenfeld[Note 11],270709.0,"60,533",992,229,80,German
20,Tessin,2015,62.26591929875398,26.72859581681949,18.583357729195367,14.636514253336902,4.2863263107167455,0.0,0.0,0.0,0.43761864214037033,0.0,0.42069900952315603,0.0,6.018694159034661,0.0,0.0,0.0,0.5878361020577508,24.23778557088691,0.0,4.0625724062886395,100,TI,9457.986956358673,1803,Bellinzona,354375.0,"82,438","2,812",110,115,Italian
21,Vaud,2017,38.92462645794237,33.068194249425545,2.2135325652151705,23.438907868426924,15.842675077718669,0.0,0.33169915342224043,0.0,4.769951730749309,0.3730955753789968,1.6217935859087007,0.0,13.780909958462997,0.0,0.96153222132801,0.0,0.1858957644884116,0.0,0.0,3.411812249475024,100,VD,48397.63471560905,1803,Lausanne,784822.0,"68,084","3,212",188,318,French
22,Valais ,2017,57.52650209725463,20.1501589856244,41.74245142901689,10.45165793427439,16.43753859412155,0.0,0.0,2.0951793879741047,0.0,0.0,0.0,0.0,6.896453969661298,0.0,0.0,0.0,0.0,0.0,0.0,2.22655969932734,99.99999999999996,VS,32072.282392178007,1815,Sion,339176.0,"52,532","5,224",53,134,"French, German"
23,Neuchâtel,2017,33.44132363142591,33.35368327056882,2.6807276251583194,23.582051246983347,11.489285637400881,0.0,0.0,0.0,4.379922841608314,0.0,8.256304592861285,0.0,14.871477296601668,0.0,1.386547488817356,0.0,0.0,0.0,0.0,0.0,100,NE,6860.846262761034,1815/1857,Neuchâtel,178567.0,"83,835",802,206,31,French
24,Genève ,2018,37.71944191573888,25.183925642026413,10.712970391476116,15.299358498842603,7.315683334298617,0.0,0.0,0.0,1.6029247125739763,0.5175074666901744,2.0963537917735287,0.0,13.157682645296559,0.0,4.590890298933291,0.0,0.0,0.0,9.432302546383967,10.090400671704748,99.99999999999999,GE,13508.096227250908,1815,Geneva,489524.0,"102,113",282,"1,442",45,French
25,Jura,2015,50.5705895799265,15.433764144213491,26.784772437524364,20.04754972050904,11.980335537900014,0.0,0.0,12.126480273249749,0.0,0.0,1.6364739576651304,0.0,7.695840453085865,1.5898663066969367,0.0,0.0,0.904572693990402,0.0,0.0,1.8003444751650015,100,JU,4440.293936387724,1979,Delémont,73290.0,"64,606",839,82,57,French
